Date,Symbol,Open,High,Low,Close,Volume
2024-03-05,MMF1,7.3,7.4,7.2,7.2,5625.0
2024-03-06,MMF1,7.14,7.28,7.14,7.2,3875.0
2024-03-07,MMF1,7.08,7.39,7.08,7.16,10450.0
2024-03-08,MMF1,7.08,7.39,7.08,7.16,10450.0
2024-03-09,MMF1,7.08,7.39,7.08,7.16,10450.0
2024-03-10,MMF1,7.07,7.32,7.07,7.21,19350.0
2024-03-11,MMF1,7.07,7.32,7.07,7.21,19350.0
2024-03-12,MMF1,7.16,7.49,7.16,7.44,58630.0
2024-03-13,MMF1,7.3,7.55,7.16,7.43,34655.0
2024-03-14,MMF1,7.35,7.5,7.21,7.25,8520.0
2024-03-15,MMF1,7.35,7.5,7.21,7.25,8520.0
2024-03-16,MMF1,7.35,7.5,7.21,7.25,8520.0
2024-03-17,MMF1,7.25,7.3,7.2,7.23,8250.0
2024-03-18,MMF1,7.16,7.36,7.16,7.22,7400.0
2024-03-19,MMF1,7.22,7.25,7.21,7.22,11170.0
2024-03-20,MMF1,7.1,7.31,7.1,7.25,22100.0
2024-03-21,MMF1,7.23,7.3,7.23,7.23,26057.0
2024-03-22,MMF1,7.23,7.3,7.23,7.23,26057.0
2024-03-23,MMF1,7.23,7.3,7.23,7.23,26057.0
2024-03-24,MMF1,7.23,7.3,7.23,7.23,26057.0
2024-03-25,MMF1,7.23,7.24,7.16,7.2,20650.0
2024-03-26,MMF1,7.12,7.34,7.12,7.2,4800.0
2024-03-27,MMF1,7.16,7.34,7.1,7.15,13500.0
2024-03-28,MMF1,7.1,7.4,7.1,7.4,13450.0
2024-03-29,MMF1,7.1,7.4,7.1,7.4,13450.0
2024-03-30,MMF1,7.1,7.4,7.1,7.4,13450.0
2024-03-31,MMF1,7.3,7.3,7.1,7.15,13250.0
2024-04-01,MMF1,7.07,7.25,7.07,7.2,18370.0
2024-04-02,MMF1,7.07,7.23,7.07,7.11,27590.0
2024-04-03,MMF1,7.02,7.2,7.02,7.08,9800.0
2024-04-04,MMF1,6.94,7.17,6.94,7.07,7300.0
2024-04-05,MMF1,6.94,7.17,6.94,7.07,7300.0
2024-04-06,MMF1,6.94,7.17,6.94,7.07,7300.0
2024-04-07,MMF1,6.94,7.35,6.94,7.35,8110.0
2024-04-08,MMF1,6.94,7.35,6.94,7.35,8110.0
2024-04-09,MMF1,7.25,7.25,7.12,7.18,6940.0
2024-04-10,MMF1,7.18,7.3,7.06,7.16,6875.0
2024-04-11,MMF1,7.18,7.3,7.06,7.16,6875.0
2024-04-12,MMF1,7.18,7.3,7.06,7.16,6875.0
2024-04-13,MMF1,7.18,7.3,7.06,7.16,6875.0
2024-04-14,MMF1,7.02,7.3,7.02,7.14,20085.0
2024-04-15,MMF1,7.02,7.28,7.02,7.1,8300.0
2024-04-16,MMF1,7.1,7.19,7.03,7.12,8540.0
2024-04-17,MMF1,7.1,7.19,7.03,7.12,8540.0
2024-04-18,MMF1,7.0,7.26,7.0,7.03,9863.0
2024-04-19,MMF1,7.0,7.26,7.0,7.03,9863.0
2024-04-20,MMF1,7.0,7.26,7.0,7.03,9863.0
2024-04-21,MMF1,7.01,7.29,7.01,7.05,14300.0
2024-04-22,MMF1,7.01,7.2,7.0,7.06,19700.0
2024-04-23,MMF1,7.01,7.2,7.0,7.06,19700.0
2024-04-24,MMF1,7.04,7.21,7.01,7.21,20587.0
2024-04-25,MMF1,7.07,7.35,7.03,7.04,7600.0
2024-04-26,MMF1,7.07,7.35,7.03,7.04,7600.0
2024-04-27,MMF1,7.07,7.35,7.03,7.04,7600.0
2024-04-28,MMF1,7.0,7.06,7.0,7.05,3400.0
2024-04-29,MMF1,7.0,7.17,7.0,7.06,18850.0
2024-04-30,MMF1,6.92,7.44,6.53,7.44,12228.0
2024-05-01,MMF1,6.92,7.44,6.53,7.44,12228.0
2024-05-02,MMF1,7.33,7.35,7.05,7.21,12715.0
2024-05-03,MMF1,7.33,7.35,7.05,7.21,12715.0
2024-05-04,MMF1,7.33,7.35,7.05,7.21,12715.0
2024-05-05,MMF1,7.21,7.25,7.08,7.12,5778.0
